ceo,company_founded,job_title,cb_link,location,primary_organisation
 Manish Agarwal ,—,CEO,/person/manish-agarwal-3," Mumbai, Maharashtra, India", Nazara Technologies 
 Ajay Munot ,—,CEO,/person/ajay-munot," Mumbai, Maharashtra, India", Adani Realty 
 Kunaal Dudeja ,1,CEO & Co-Founder,/person/kunaal-dudeja," Gurgaon, Haryana, India", Virohan 
 Amit Choudhary ,1,CEO and Founder,/person/amit-choudhary," Gurgaon, Haryana, India", Dawaa Dost 
 Sameer Parwani ,1,CEO - CouponDunia,/person/sameer-parwani," Mumbai, Maharashtra, India", Times Internet 
 Sekar Vembu ,1,CEO,/person/sekar-vembu," Chennai, Tamil Nadu, India", Vembu Technologies 
 Sangram Simha ,4,Co-Founder & CEO,/person/sangram-simha," Hyderabad, Andhra Pradesh, India", StyleCraze Beauty Care Pvt Ltd 
 Rajesh Magow ,1,Co-Founder & Group CEO,/person/rajesh-magow," Gurgaon, Haryana, India", MakeMyTrip.com 
 Mohit Gulati ,1,Founder CEO,/person/mohit-gulati," Mumbai, Maharashtra, India", Altius Ventures 
 Ayush Jaiswal ,1,"Co-founder, CEO",/person/ayush-jaiswal," Gurgaon, Haryana, India", Pesto Tech 
 Shobhit Bhatnagar ,1,CEO & Co-Founder,/person/shobhit-bhatnagar," Delhi, Delhi, India", Gradeup 
 Sumit Sinha ,2,CEO and Co-Founder,/person/sumit-sinha-9939," Bangalore, Karnataka, India", PhableCare 
 Sumit Sinha ,2,CEO and Co-Founder,/person/sumit-sinha-9939," Bangalore, Karnataka, India", PhableCare 
 Rahul Anand ,1,Founder & CEO,/person/rahul-anand-2," Mumbai, Maharashtra, India", Hopscotch 
 Deepak Garg ,1,Founder & CEO,/person/deepak-garg," Delhi, Delhi, India", Rivigo 
 Pankajj P. Ghode ,1,CEO & Co-founder,/person/pankajj-p-ghode," Pune, Maharashtra, India", Agri10x 
 J K Singha ,3,Founder Chairman & CEO -Board Of Director,/person/jyoti-kumar-singha," Mumbai, Maharashtra, India", HealWell24 
 Anupam Mittal ,2,Founder and CEO,/person/anupam-mittal," Mumbai, Maharashtra, India", Shaadi.com 
 Vinay Singhal ,1,Co-Founder & CEO,/person/vinay-singhal," Indore, Madhya Pradesh, India", WittyFeed 
 Ashish Sharma ,—,CEO,/person/ashish-sharma-5b0e," Mumbai, Maharashtra, India", InnoVen Capital 
 Shayak Mazumder ,1,Founder & CEO,/person/shayak-mazumder," Hyderabad, Andhra Pradesh, India", Eunimart 
 Ravi Gururaj ,2,Founder & CEO,/person/ravi-gururaj," Bangalore, Karnataka, India", Qikpod 
 Priyanka Agarwal ,1,Founder & CEO,/person/priyanka-agarwal-2," Mumbai, Maharashtra, India", Wishberry 
 Prateek Singh ,2,Founder & CEO,/person/prateek-singh," Chandigarh, Chandigarh, India", Market Scientist 
 Sanjib Jha ,—,CEO,/person/sanjib-jha," Mumbai, Maharashtra, India", Coverfox Insurance 
 Vipul Bansal ,1,Group CEO,/person/vipul-bansal," Mumbai, Maharashtra, India", Medusind Solutions 
 Piyush Agarwal ,1,Founder & CEO,/person/piyush-agarwal," Bangalore, Karnataka, India", SuperProfs 
 Sreevathsa Prabhakar ,1,Founder and CEO,/person/sreevathsa-prabhakar," Mumbai, Maharashtra, India", Servify 
 Rajiv Dadlani ,1,Founder / CEO,/person/rajiv-dadlani," Mumbai, Maharashtra, India", Consort Capital Services 
 Nameet Potnis ,2,CEO,/person/nameet-potnis," Mumbai, Maharashtra, India", Apptuse 
 Nitin Shimpi ,2,Co-Founder & CEO,/person/nitin-shimpi," Pune, Maharashtra, India", Talentica 
 Prashant Gandhi ,3,Founder & CEO,/person/prashant-gandhi-e21b," Gurgaon, Haryana, India", WikQik 
 Sudhakar Reddy ,1,Founder & CEO,/person/sudhakar-reddy," Hyderabad, Andhra Pradesh, India", Abhibus 
 Deepak Sahni ,1,Founder & CEO,/person/deepak-sahni," Gurgaon, Haryana, India", Healthians 
 Vishal Sampat ,—,CEO,/person/vishal-sampat," Mumbai, Maharashtra, India", SMG Convonix 
 ARUN THOMAS MATHEW ,1,Founder and CEO,/person/arun-thomas-mathew," Bangalore, Karnataka, India", Frontline Investments India 
 Abhimanyu Dhamija ,3,CEO,/person/abhimanyu-dhamija," Mumbai, Maharashtra, India", AmberStudent 
 Shardul Sheth ,1,Co-Founder & CEO,/person/shardul-sheth," Mumbai, Maharashtra, India", Agrostar 
 Rohan Mirchandani ,1,CEO,/person/rohan-mirchandani," Mumbai, Maharashtra, India", Epigamia 
 Bharanidharan Viswanathan ,2,"CEO, Co-founder",/person/bharanidharan-viswanathan," Gurgaon, Haryana, India", 91Mobiles 
 Ruchir Arora ,1,Founder & CEO,/person/ruchir-arora," Gurgaon, Haryana, India", CollegeDekho 
 Arshdeep Bhardwaj ,2,Founder and CEO,/person/arshdeep-bhardwaj," Hyderabad, Andhra Pradesh, India", Crivly 
 Ravikiran Annaswamy ,5,CEO and Managing Director,/person/ravikiran-annaswamy," Bangalore, Karnataka, India", Numocity 
 Varun Saxena ,2,Founder and CEO,/person/varun-saxena-3," Gurgaon, Haryana, India", Bolo Indya 
 Ajay Prabhu ,1,CEO,/person/ajay-prabhu," Bangalore, Karnataka, India", KVP Business Solutions 
 Mandeep Manocha ,1,Co-Founder & CEO,/person/mandeep-manocha," Gurgaon, Haryana, India", Cashify 
 Ajay Kaul ,—,CEO Domino's Pizza India,/person/ajay-kaul," Noida, Uttar Pradesh, India", Domino's Pizza 
 Siddhartha Roy ,—,CEO,/person/siddhartha-roy," Mumbai, Maharashtra, India", Hungama 
 Vishal Nigam ,2,Founder and CEO,/person/vishal-nigam," Delhi, Delhi, India", DIYblockchain 
 Rohit Gajbhiye ,1,CEO,/person/rohit-gajbhiye," Mumbai, Maharashtra, India", Financepeer 
 Vikram Vora ,1,Co-Founder & CEO,/person/vikram-vora," Mumbai, Maharashtra, India", Sabka Dentist 
 Adit Jain ,1,Co-founder/ CEO,/person/adit-jain," Gurgaon, Haryana, India", Leena AI 
 Rizwan Soomar ,—,"CEO and Managing Director, India",/person/rizwan-soomar," Mumbai, Maharashtra, India", DP World Group 
 Richa Singh ,1,"CEO, Co-Founder",/person/richa-singh-2," Bangalore, Karnataka, India", YourDOST 
 Rahul Pawar ,1,Founder & CEO - Medisponsor.com,/person/rahul-pawar-2," Mumbai, Maharashtra, India", MediSponsor 
 Kamal Sagar ,1,Founder and CEO,/person/kamal-sagar," Bangalore, Karnataka, India", Total Environment 
 Layak Singh ,3,Founder & CEO,/person/layak-singh," Bangalore, Karnataka, India", Artivatic.ai 
 PC Musthafa ,1,Co-Founder and CEO,/person/musthafa-pc," Bangalore, Karnataka, India", iD Fresh Food 
 Ashwin Ramesh ,1,Co Founder & CEO,/person/ashwin-ramesh," Chennai, Tamil Nadu, India", Synup 
 Sandeep Mundra ,2,Co-Founder and CEO,/person/sandeep-mundra," Ahmedabad, Gujarat, India", IndiaNIC Infotech Limited 
 Sreejita Deb ,1,Co-Founder & CEO,/person/sreejita-deb," Mumbai, Maharashtra, India", Raena 
 Akshay Mehrotra ,1,Co Founder & CEO,/person/akshay-mehrotra," Pune, Maharashtra, India", EarlySalary 
 Vijay Yalamanchili ,2,Founder and CEO,/person/vijay-yalamanchili," Hyderabad, Andhra Pradesh, India", Keka HR 
